pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
154;vt4_Viikinmäki;20190120;2;Helsinki;*;Ajoneuvoluokka;HA - PA;280;183;161;153;146;132;255;288;355;693;781;974;1113;1228;1265;1298;1259;1233;1121;890;699;434;208;103;15252
154;vt4_Viikinmäki;20190121;1;Lahti;*;Ajoneuvoluokka;HA - PA;87;54;79;41;63;146;436;795;902;816;858;863;929;1185;1730;2690;2712;2115;1406;961;927;787;444;151;21177
154;vt4_Viikinmäki;20190121;2;Helsinki;*;Ajoneuvoluokka;HA - PA;62;62;50;57;139;689;2372;2734;2950;1863;1080;1059;1007;943;930;1116;1328;1228;821;690;682;412;224;110;22608
154;vt4_Viikinmäki;20190122;1;Lahti;*;Ajoneuvoluokka;HA - PA;98;60;68;47;70;137;422;827;896;816;763;967;1007;1186;1705;2654;2633;2109;1373;1072;851;709;440;180;21090
154;vt4_Viikinmäki;20190122;2;Helsinki;*;Ajoneuvoluokka;HA - PA;62;36;34;48;147;660;2410;2342;1574;1925;1096;1161;1092;1007;997;1140;1267;1124;978;747;697;422;241;123;21330
154;vt4_Viikinmäki;20190123;1;Lahti;*;Ajoneuvoluokka;HA - PA;105;88;77;47;86;144;439;824;916;748;787;894;1036;1204;1771;2804;2606;2101;1377;1083;925;1015;543;174;21794
154;vt4_Viikinmäki;20190123;2;Helsinki;*;Ajoneuvoluokka;HA - PA;54;47;50;45;145;710;2400;2773;2851;1842;1081;1103;971;970;976;1084;1361;1313;1052;707;691;464;249;135;23074
154;vt4_Viikinmäki;20190124;1;Lahti;*;Ajoneuvoluokka;HA - PA;163;87;91;70;74;152;423;854;939;815;924;935;1125;1253;1965;2808;2703;2232;1371;1110;944;740;543;246;22567
154;vt4_Viikinmäki;20190124;2;Helsinki;*;Ajoneuvoluokka;HA - PA;80;53;64;57;138;675;2495;2873;2704;1764;1276;1069;1099;1027;1101;1196;1422;1262;1045;798;734;479;261;124;23796
154;vt4_Viikinmäki;20190125;1;Lahti;*;Ajoneuvoluokka;HA - PA;145;89;77;73;88;135;434;775;865;790;866;1016;1242;1575;2158;2795;2591;1776;1340;1005;830;1001;580;382;22628
154;vt4_Viikinmäki;20190125;2;Helsinki;*;Ajoneuvoluokka;HA - PA;78;58;59;67;143;680;2502;2597;2542;1710;1116;1226;1173;1213;1291;1379;1446;1453;1124;826;686;520;338;277;24504
154;vt4_Viikinmäki;20190126;1;Lahti;*;Ajoneuvoluokka;HA - PA;284;233;181;182;151;180;147;216;376;576;774;924;980;1112;1242;1234;1280;1150;1059;814;676;549;517;363;15200
154;vt4_Viikinmäki;20190126;2;Helsinki;*;Ajoneuvoluokka;HA - PA;207;173;154;129;129;201;397;439;634;1025;936;1130;1155;1267;1265;1298;994;1045;984;681;658;454;329;256;15940
154;vt4_Viikinmäki;20190127;1;Lahti;*;Ajoneuvoluokka;HA - PA;275;223;215;178;178;145;125;148;221;357;650;901;868;1069;1107;1194;1215;1063;954;899;692;597;357;129;13760
154;vt4_Viikinmäki;20190127;2;Helsinki;*;Ajoneuvoluokka;HA - PA;236;180;154;147;102;135;269;286;358;534;732;842;1021;1169;1211;1239;1212;1250;1086;901;688;412;236;116;14516
154;vt4_Viikinmäki;20190128;1;Lahti;*;Ajoneuvoluokka;HA - PA;118;122;47;47;66;142;453;820;851;809;930;907;959;1196;1666;2590;2480;2177;1302;1257;1211;808;498;221;21677
154;vt4_Viikinmäki;20190128;2;Helsinki;*;Ajoneuvoluokka;HA - PA;67;52;49;47;159;679;2563;2756;2790;1697;1043;1110;1011;984;901;1084;1288;1122;899;727;665;446;230;131;22500
154;vt4_Viikinmäki;20190129;1;Lahti;*;Ajoneuvoluokka;HA - PA;109;79;68;37;57;153;407;788;826;770;750;868;946;1162;1686;2594;2445;2163;1350;1008;867;650;428;186;20397
154;vt4_Viikinmäki;20190129;2;Helsinki;*;Ajoneuvoluokka;HA - PA;73;69;50;60;159;690;2410;2613;2754;1570;1067;1111;971;927;949;966;1179;1043;866;672;628;443;244;123;21637
154;vt4_Viikinmäki;20190130;1;Lahti;*;Ajoneuvoluokka;HA - PA;154;84;85;57;69;135;418;768;864;726;759;897;985;1148;1750;2640;2697;2089;1390;1020;927;711;435;181;20989
154;vt4_Viikinmäki;20190130;2;Helsinki;*;Ajoneuvoluokka;HA - PA;68;50;46;69;179;675;2269;2593;2679;1768;1109;1056;1052;947;971;1052;1295;1139;928;770;681;447;251;122;22216
154;vt4_Viikinmäki;20190131;1;Lahti;*;Ajoneuvoluokka;HA - PA;137;87;92;53;79;151;437;851;900;799;849;1082;1100;1362;1912;2750;2666;2104;1444;1122;998;975;463;235;22648
154;vt4_Viikinmäki;20190131;2;Helsinki;*;Ajoneuvoluokka;HA - PA;78;50;46;71;153;697;2549;2800;2774;1620;1141;1161;1178;1071;1085;1171;1389;1385;1072;807;803;490;308;151;24050
154;vt4_Viikinmäki;20190201;1;Lahti;*;Ajoneuvoluokka;HA - PA;166;100;110;85;97;158;458;823;862;810;978;1086;1345;1572;2319;2745;2764;2087;1474;1088;952;693;591;318;23681
154;vt4_Viikinmäki;20190201;2;Helsinki;*;Ajoneuvoluokka;HA - PA;94;52;82;62;164;729;2496;2565;2636;1894;1369;1280;1254;1236;1293;1521;1447;1257;1061;791;700;471;373;226;25053
154;vt4_Viikinmäki;20190202;1;Lahti;*;Ajoneuvoluokka;HA - PA;293;237;222;197;161;136;149;259;385;608;861;1019;1118;1313;1376;1459;1333;1308;1098;775;670;625;599;414;16615
154;vt4_Viikinmäki;20190202;2;Helsinki;*;Ajoneuvoluokka;HA - PA;212;194;169;141;119;196;412;473;847;1223;1203;1351;1388;1349;1360;1274;1125;1166;995;779;593;426;401;331;17727
154;vt4_Viikinmäki;20190203;1;Lahti;*;Ajoneuvoluokka;HA - PA;361;321;225;201;232;277;233;316;293;438;895;855;907;1011;1105;1245;1145;1057;961;842;663;579;390;160;14712
